//input file
//iteration	in_tb	 out_ref	valid_ref

          0	00100100	101	1
          1	10000001	111	1
          2	00001001	011	1
          3	01100011	110	1
          4	00001101	011	1
          5	10001101	111	1
          6	01100101	110	1
          7	00010010	100	1
          8	00000001	000	1
          9	00001101	011	1
         10	01110110	110	1
         11	00111101	101	1
         12	11101101	111	1
         13	10001100	111	1
         14	11111001	111	1
         15	11000110	111	1
         16	11000101	111	1
         17	10101010	111	1
         18	11100101	111	1
         19	01110111	110	1
         20	00010010	100	1
         21	10001111	111	1
         22	11110010	111	1
         23	11001110	111	1
         24	11101000	111	1
         25	11000101	111	1
         26	01011100	110	1
         27	10111101	111	1
         28	00101101	101	1
         29	01100101	110	1
         30	01100011	110	1
         31	00001010	011	1
         32	10000000	111	1
         33	00100000	101	1
         34	10101010	111	1
         35	10011101	111	1
         36	10010110	111	1
         37	00010011	100	1
         38	00001101	011	1
         39	01010011	110	1
         40	01101011	110	1
         41	11010101	111	1
         42	00000010	001	1
         43	10101110	111	1
         44	00011101	100	1
         45	11001111	111	1
         46	00100011	101	1
         47	00001010	011	1
         48	11001010	111	1
         49	00111100	101	1
         50	11110010	111	1
         51	10001010	111	1
         52	01000001	110	1
         53	11011000	111	1
         54	01111000	110	1
         55	10001001	111	1
         56	11101011	111	1
         57	10110110	111	1
         58	11000110	111	1
         59	10101110	111	1
         60	10111100	111	1
         61	00101010	101	1
         62	00001011	011	1
         63	01110001	110	1
         64	10000101	111	1
         65	01001111	110	1
         66	00111011	101	1
         67	00111010	101	1
         68	01111110	110	1
         69	00010101	100	1
         70	11110001	111	1
         71	11011001	111	1
         72	01100010	110	1
         73	01001100	110	1
         74	10011111	111	1
         75	10001111	111	1
         76	11111000	111	1
         77	10110111	111	1
         78	10011111	111	1
         79	01011100	110	1
         80	01011011	110	1
         81	10001001	111	1
         82	01001001	110	1
         83	11010000	111	1
         84	11010111	111	1
         85	01010001	110	1
         86	10010110	111	1
         87	00001100	011	1
         88	11000010	111	1
         89	11001000	111	1
         90	01110111	110	1
         91	00111101	101	1
         92	00010010	100	1
         93	01111110	110	1
         94	01101101	110	1
         95	00111001	101	1
         96	00011111	100	1
         97	11010011	111	1
         98	10000101	111	1
         99	01111000	110	1
        100	01011011	110	1
        101	01001001	110	1
        102	00111111	101	1
        103	00101010	101	1
        104	01011000	110	1
        105	10000110	111	1
        106	10001110	111	1
        107	10011100	111	1
        108	11111010	111	1
        109	00100110	101	1
        110	01110011	110	1
        111	10100011	111	1
        112	00101111	101	1
        113	10110011	111	1
        114	01011111	110	1
        115	01000100	110	1
        116	11110111	111	1
        117	11001011	111	1
        118	11100110	111	1
        119	01011010	110	1
        120	00101001	101	1
        121	11101101	111	1
        122	11011010	111	1
        123	01100101	110	1
        124	10110101	111	1
        125	11011111	111	1
        126	01111001	110	1
        127	01000100	110	1
        128	11010000	111	1
        129	00101010	101	1
        130	10101011	111	1
        131	00001110	011	1
        132	11011100	111	1
        133	10011010	111	1
        134	11111101	111	1
        135	11000011	111	1
        136	01010110	110	1
        137	01001110	110	1
        138	01100111	110	1
        139	00001010	011	1
        140	10110110	111	1
        141	00111000	101	1
        142	01111001	110	1
        143	10111000	111	1
        144	10010100	111	1
        145	10010011	111	1
        146	00000100	010	1
        147	01011001	110	1
        148	11011011	111	1
        149	01001101	110	1
        150	11011001	111	1
        151	01101101	110	1
        152	01110110	110	1
        153	11001010	111	1
        154	10110110	111	1
        155	10010101	111	1
        156	01000110	110	1
        157	00000100	010	1
        158	11110111	111	1
        159	01101001	110	1
        160	10110100	111	1
        161	10001000	111	1
        162	00101000	101	1
        163	00101101	101	1
        164	11000111	111	1
        165	00101110	101	1
        166	00001000	011	1
        167	00011100	100	1
        168	11111101	111	1
        169	00101001	101	1
        170	00011100	100	1
        171	10000110	111	1
        172	11011010	111	1
        173	00111101	101	1
        174	01100110	110	1
        175	01110000	110	1
        176	01110011	110	1
        177	10111010	111	1
        178	01011110	110	1
        179	11111010	111	1
        180	11010101	111	1
        181	00011010	100	1
        182	10111001	111	1
        183	00110111	101	1
        184	10010110	111	1
        185	11000000	111	1
        186	00100110	101	1
        187	10110110	111	1
        188	01111101	110	1
        189	11011100	111	1
        190	10000110	111	1
        191	01111000	110	1
        192	01111110	110	1
        193	11011011	111	1
        194	11001111	111	1
        195	01111001	110	1
        196	11111010	111	1
        197	01100001	110	1
        198	00010111	100	1
        199	10100001	111	1
        200	10000110	111	1
        201	01010000	110	1
        202	11110101	111	1
        203	00110101	101	1
        204	00101001	101	1
        205	11000001	111	1
        206	11000101	111	1
        207	10011000	111	1
        208	01001011	110	1
        209	01110011	110	1
        210	11101100	111	1
        211	10001010	111	1
        212	01001110	110	1
        213	10101000	111	1
        214	10101001	111	1
        215	10100001	111	1
        216	00001110	011	1
        217	11100110	111	1
        218	10011111	111	1
        219	00101010	101	1
        220	00101010	101	1
        221	10001101	111	1
        222	10011110	111	1
        223	00111000	101	1
        224	01111001	110	1
        225	11001000	111	1
        226	11001010	111	1
        227	00010011	100	1
        228	01101011	110	1
        229	11000111	111	1
        230	10110110	111	1
        231	10111010	111	1
        232	11000100	111	1
        233	10111001	111	1
        234	10010010	111	1
        235	10110100	111	1
        236	01111111	110	1
        237	10000110	111	1
        238	11111010	111	1
        239	11110010	111	1
        240	00110010	101	1
        241	10111101	111	1
        242	10000100	111	1
        243	11100100	111	1
        244	11001010	111	1
        245	10101001	111	1
        246	10100001	111	1
        247	10001110	111	1
        248	11111011	111	1
        249	00001011	011	1
        250	11101111	111	1
        251	11001001	111	1
        252	00110110	101	1
        253	01110101	110	1
        254	10001111	111	1
        255	01101011	110	1
        256	10001000	111	1
        257	10101110	111	1
        258	10011011	111	1
        259	10010010	111	1
        260	00101000	101	1
        261	00101101	101	1
        262	01001011	110	1
        263	11000010	111	1
        264	00011110	100	1
        265	00001101	011	1
        266	11101100	111	1
        267	00011000	100	1
        268	11010001	111	1
        269	10000110	111	1
        270	01000001	110	1
        271	00111011	101	1
        272	11011000	111	1
        273	01010011	110	1
        274	01010110	110	1
        275	01011011	110	1
        276	11100010	111	1
        277	00000100	010	1
        278	01110011	110	1
        279	11011000	111	1
        280	00010010	100	1
        281	10111000	111	1
        282	00111001	101	1
        283	11100101	111	1
        284	10100001	111	1
        285	00101011	101	1
        286	10000001	111	1
        287	11001000	111	1
        288	00100111	101	1
        289	10100001	111	1
        290	00011111	100	1
        291	00000100	010	1
        292	01011000	110	1
        293	10010110	111	1
        294	00010100	100	1
        295	00010010	100	1
        296	10010110	111	1
        297	10110001	111	1
        298	01010101	110	1
        299	11101101	111	1
