//input file
//in_tb	 No.

00100100	//          0
10000001	//          1
00001001	//          2
01100011	//          3
00001101	//          4
10001101	//          5
01100101	//          6
00010010	//          7
00000001	//          8
00001101	//          9
01110110	//         10
00111101	//         11
11101101	//         12
10001100	//         13
11111001	//         14
11000110	//         15
11000101	//         16
10101010	//         17
11100101	//         18
01110111	//         19
00010010	//         20
10001111	//         21
11110010	//         22
11001110	//         23
11101000	//         24
11000101	//         25
01011100	//         26
10111101	//         27
00101101	//         28
01100101	//         29
01100011	//         30
00001010	//         31
10000000	//         32
00100000	//         33
10101010	//         34
10011101	//         35
10010110	//         36
00010011	//         37
00001101	//         38
01010011	//         39
01101011	//         40
11010101	//         41
00000010	//         42
10101110	//         43
00011101	//         44
11001111	//         45
00100011	//         46
00001010	//         47
11001010	//         48
00111100	//         49
11110010	//         50
10001010	//         51
01000001	//         52
11011000	//         53
01111000	//         54
10001001	//         55
11101011	//         56
10110110	//         57
11000110	//         58
10101110	//         59
10111100	//         60
00101010	//         61
00001011	//         62
01110001	//         63
10000101	//         64
01001111	//         65
00111011	//         66
00111010	//         67
01111110	//         68
00010101	//         69
11110001	//         70
11011001	//         71
01100010	//         72
01001100	//         73
10011111	//         74
10001111	//         75
11111000	//         76
10110111	//         77
10011111	//         78
01011100	//         79
01011011	//         80
10001001	//         81
01001001	//         82
11010000	//         83
11010111	//         84
01010001	//         85
10010110	//         86
00001100	//         87
11000010	//         88
11001000	//         89
01110111	//         90
00111101	//         91
00010010	//         92
01111110	//         93
01101101	//         94
00111001	//         95
00011111	//         96
11010011	//         97
10000101	//         98
01111000	//         99
01011011	//        100
01001001	//        101
00111111	//        102
00101010	//        103
01011000	//        104
10000110	//        105
10001110	//        106
10011100	//        107
11111010	//        108
00100110	//        109
01110011	//        110
10100011	//        111
00101111	//        112
10110011	//        113
01011111	//        114
01000100	//        115
11110111	//        116
11001011	//        117
11100110	//        118
01011010	//        119
00101001	//        120
11101101	//        121
11011010	//        122
01100101	//        123
10110101	//        124
11011111	//        125
01111001	//        126
01000100	//        127
11010000	//        128
00101010	//        129
10101011	//        130
00001110	//        131
11011100	//        132
10011010	//        133
11111101	//        134
11000011	//        135
01010110	//        136
01001110	//        137
01100111	//        138
00001010	//        139
10110110	//        140
00111000	//        141
01111001	//        142
10111000	//        143
10010100	//        144
10010011	//        145
00000100	//        146
01011001	//        147
11011011	//        148
01001101	//        149
11011001	//        150
01101101	//        151
01110110	//        152
11001010	//        153
10110110	//        154
10010101	//        155
01000110	//        156
00000100	//        157
11110111	//        158
01101001	//        159
10110100	//        160
10001000	//        161
00101000	//        162
00101101	//        163
11000111	//        164
00101110	//        165
00001000	//        166
00011100	//        167
11111101	//        168
00101001	//        169
00011100	//        170
10000110	//        171
11011010	//        172
00111101	//        173
01100110	//        174
01110000	//        175
01110011	//        176
10111010	//        177
01011110	//        178
11111010	//        179
11010101	//        180
00011010	//        181
10111001	//        182
00110111	//        183
10010110	//        184
11000000	//        185
00100110	//        186
10110110	//        187
01111101	//        188
11011100	//        189
10000110	//        190
01111000	//        191
01111110	//        192
11011011	//        193
11001111	//        194
01111001	//        195
11111010	//        196
01100001	//        197
00010111	//        198
10100001	//        199
10000110	//        200
01010000	//        201
11110101	//        202
00110101	//        203
00101001	//        204
11000001	//        205
11000101	//        206
10011000	//        207
01001011	//        208
01110011	//        209
11101100	//        210
10001010	//        211
01001110	//        212
10101000	//        213
10101001	//        214
10100001	//        215
00001110	//        216
11100110	//        217
10011111	//        218
00101010	//        219
00101010	//        220
10001101	//        221
10011110	//        222
00111000	//        223
01111001	//        224
11001000	//        225
11001010	//        226
00010011	//        227
01101011	//        228
11000111	//        229
10110110	//        230
10111010	//        231
11000100	//        232
10111001	//        233
10010010	//        234
10110100	//        235
01111111	//        236
10000110	//        237
11111010	//        238
11110010	//        239
00110010	//        240
10111101	//        241
10000100	//        242
11100100	//        243
11001010	//        244
10101001	//        245
10100001	//        246
10001110	//        247
11111011	//        248
00001011	//        249
11101111	//        250
11001001	//        251
00110110	//        252
01110101	//        253
10001111	//        254
01101011	//        255
